geneId	geneSymbol	DSI	DPI	diseaseId	diseaseName	diseaseType	diseaseClass	diseaseSemanticType	score	EI	YearInitial	YearFinal	NofPmids	NofSnps	source
        9	NAT1	0.536	0.846	C0086692	Benign Neoplasm	group	C04	Neoplastic Process	0.30	1	2001	2001	   1	   0	CTD_human
        9	NAT1	0.536	0.846	C0376358	Malignant neoplasm of prostate	disease	C04;C12	Neoplastic Process	0.36	0.857	1999	2011	   1	   0	CTD_human
       10	NAT2	0.451	0.885	C0005684	Malignant neoplasm of urinary bladder	disease	C04;C13;C12	Neoplastic Process	0.40	0.939	1995	2018	   5	   0	CTD_human
       10	NAT2	0.451	0.885	C0005695	Bladder Neoplasm	disease	C04;C13;C12	Neoplastic Process	0.40	0.935	1995	2018	   5	   0	CTD_human
       10	NAT2	0.451	0.885	C0006142	Malignant neoplasm of breast	disease	C04;C17	Neoplastic Process	0.40	0.857	1996	2018	   1	   0	CTD_human
       10	NAT2	0.451	0.885	C0010054	Coronary Arteriosclerosis	disease	C14	Disease or Syndrome	0.31	1	2011	2016	   1	   0	CTD_human
       10	NAT2	0.451	0.885	C0011999	Diastematomyelia	disease	C16;C10	Congenital Abnormality	0.30	1	2010	2010	   1	   0	CTD_human
       10	NAT2	0.451	0.885	C0013182	Drug Allergy	group	C20;C25	Pathologic Function	0.30	1	2010	2011	   3	   0	CTD_human
       10	NAT2	0.451	0.885	C0013221	Drug toxicity	group	C25	Injury or Poisoning	0.30	1	2007	2007	   2	   0	CTD_human
       10	NAT2	0.451	0.885	C0019193	Hepatitis, Toxic	disease	C06;C25	Injury or Poisoning	0.30	1	2002	2015	   4	   0	CTD_human
       10	NAT2	0.451	0.885	C0023452	Childhood Acute Lymphoblastic Leukemia	disease	C04;C20;C15	Neoplastic Process	0.36	0.857	2000	2019	   1	   0	CTD_human
       10	NAT2	0.451	0.885	C0023453	L2 Acute Lymphoblastic Leukemia	disease	C04;C20;C15	Neoplastic Process	0.30	1	2012	2012	   1	   0	CTD_human
       10	NAT2	0.451	0.885	C0023530	Leukopenia	disease	C15	Disease or Syndrome	0.30	1	2003	2003	   1	   0	CTD_human
       10	NAT2	0.451	0.885	C0023903	Liver neoplasms	group	C06;C04	Neoplastic Process	0.30	1	2009	2009	   1	   0	CTD_human
       10	NAT2	0.451	0.885	C0027794	Neural Tube Defects	group	C16;C10	Congenital Abnormality	0.31	1	2010	2010	   1	   0	CTD_human
       10	NAT2	0.451	0.885	C0027806	Neurenteric Cyst	disease	C16;C10	Congenital Abnormality	0.30	1	2010	2010	   1	   0	CTD_human
       10	NAT2	0.451	0.885	C0028796	Dermatitis, Occupational	disease	C17;C24	Disease or Syndrome	0.30	1	2009	2009	   1	   0	CTD_human
       10	NAT2	0.451	0.885	C0033578	Prostatic Neoplasms	group	C04;C12	Neoplastic Process	0.33	1	2002	2005	   4	   0	CTD_human
       10	NAT2	0.451	0.885	C0041755	Adverse reaction to drug	group	C25	Pathologic Function	0.30	1	2007	2007	   2	   0	CTD_human
       10	NAT2	0.451	0.885	C0080218	Tethered Cord Syndrome	disease	C16;C10	Disease or Syndrome	0.30	1	2010	2010	   1	   0	CTD_human
       10	NAT2	0.451	0.885	C0086457	Industrial Dermatosis	disease	C17;C24	Disease or Syndrome	0.30	1	2009	2009	   1	   0	CTD_human
       10	NAT2	0.451	0.885	C0152234	Iniencephaly	disease	C16;C10	Congenital Abnormality	0.30	1	2010	2010	   1	   0	CTD_human
       10	NAT2	0.451	0.885	C0152426	Craniorachischisis	disease	C16;C10	Congenital Abnormality	0.30	1	2010	2010	   1	   0	CTD_human
       10	NAT2	0.451	0.885	C0266453	Exencephaly	disease	C16;C10	Congenital Abnormality	0.30	1	2010	2010	   1	   0	CTD_human
       10	NAT2	0.451	0.885	C0344479	Spinal Cord Myelodysplasia	disease	C16;C10	Congenital Abnormality	0.30	1	2010	2010	   1	   0	CTD_human
       10	NAT2	0.451	0.885	C0345904	Malignant neoplasm of liver	disease	C06;C04	Neoplastic Process	0.30	1	2009	2009	   1	   0	CTD_human
       10	NAT2	0.451	0.885	C0345967	Malignant mesothelioma	disease	C04;C08	Neoplastic Process	0.34	0.75	1995	2009	   1	   0	CTD_human
       10	NAT2	0.451	0.885	C0376358	Malignant neoplasm of prostate	disease	C04;C12	Neoplastic Process	0.40	0.882	1998	2017	   4	   0	CTD_human
       10	NAT2	0.451	0.885	C0678222	Breast Carcinoma	disease	C04;C17	Neoplastic Process	0.40	0.863	1996	2018	   1	   0	CTD_human
       10	NAT2	0.451	0.885	C0702169	Acrania	disease	C16;C10	Congenital Abnormality	0.30	1	2010	2010	   1	   0	CTD_human
       10	NAT2	0.451	0.885	C0860207	Drug-Induced Liver Disease	phenotype	C06;C25	Disease or Syndrome	0.40	1	2002	2019	   4	   0	CTD_human
       10	NAT2	0.451	0.885	C1257931	Mammary Neoplasms, Human	disease	C04;C17	Neoplastic Process	0.30	1	2009	2009	   1	   0	CTD_human
       10	NAT2	0.451	0.885	C1262760	Hepatitis, Drug-Induced	disease	C06;C25	Disease or Syndrome	0.33	1	2002	2015	   4	   0	CTD_human
       10	NAT2	0.451	0.885	C1458155	Mammary Neoplasms	group	C04;C17	Neoplastic Process	0.40	1	2002	2018	   1	   0	CTD_human
       10	NAT2	0.451	0.885	C1956346	Coronary Artery Disease	disease	C14	Disease or Syndrome	0.31	1	2011	2016	   1	   0	CTD_human
       10	NAT2	0.451	0.885	C1961102	Precursor Cell Lymphoblastic Leukemia Lymphoma	disease	C04;C20;C15	Neoplastic Process	0.30	1	2012	2012	   1	   0	CTD_human
       10	NAT2	0.451	0.885	C2239176	Liver carcinoma	disease	C06;C04	Neoplastic Process	0.39	0.9	1996	2017	   1	   0	CTD_human
       10	NAT2	0.451	0.885	C3658290	Drug-Induced Acute Liver Injury	disease	C06;C25	Disease or Syndrome	0.30	1	2002	2015	   4	   0	CTD_human
       10	NAT2	0.451	0.885	C4277682	Chemical and Drug Induced Liver Injury	disease	C06;C25	Disease or Syndrome	0.30	1	2002	2015	   4	   0	CTD_human
       10	NAT2	0.451	0.885	C4279912	Chemically-Induced Liver Toxicity	disease	C06;C25	Disease or Syndrome	0.30	1	2002	2015	   4	   0	CTD_human
       10	NAT2	0.451	0.885	C4704874	Mammary Carcinoma, Human	disease	C04;C17	Neoplastic Process	0.30	1	2009	2009	   1	   0	CTD_human
       12	SERPINA3	0.486	0.846	C0023794	Lipoidosis	disease	C16;C18	Disease or Syndrome	0.30	1	2005	2007	   3	   0	CTD_human
       12	SERPINA3	0.486	0.846	C0033578	Prostatic Neoplasms	group	C04;C12	Neoplastic Process	0.30	1	2008	2008	   1	   0	CTD_human
       12	SERPINA3	0.486	0.846	C0376358	Malignant neoplasm of prostate	disease	C04;C12	Neoplastic Process	0.34	1	1998	2017	   1	   0	CTD_human
       13	AADAC	0.631	0.615	C0023893	Liver Cirrhosis, Experimental	disease	C23;C06	Experimental Model of Disease	0.30	1	2014	2014	   1	   0	CTD_human
       15	AANAT	0.67	0.692	C0005587	Depression, Bipolar	disease	F03	Mental or Behavioral Dysfunction	0.30	1	2010	2010	   1	   0	PSYGENET
       15	AANAT	0.67	0.692	C0011570	Mental Depression	disease	F01	Mental or Behavioral Dysfunction	0.30	1	2001	2001	   1	   0	PSYGENET
       15	AANAT	0.67	0.692	C0011581	Depressive disorder	disease	F03	Mental or Behavioral Dysfunction	0.30	1	2001	2001	   1	   0	PSYGENET
       15	AANAT	0.67	0.692	C0393770	Delayed Sleep Phase Syndrome	disease	C10;F03;C24	Disease or Syndrome	0.31	1	2003	2003	   1	   0	CTD_human
       15	AANAT	0.67	0.692	C0494410	Nonorganic Sleep Wake Cycle Disorders	disease	C10;F03;C24	Mental or Behavioral Dysfunction	0.30	1	2003	2003	   1	   0	CTD_human
       15	AANAT	0.67	0.692	C0751758	Advanced Sleep Phase Syndrome	disease	C10;F03;C24	Disease or Syndrome	0.30	1	2003	2003	   1	   0	CTD_human
       15	AANAT	0.67	0.692	C0751759	Non-24 Hour Sleep-Wake Disorder	disease	C10;F03;C24	Mental or Behavioral Dysfunction	0.30	1	2003	2003	   1	   0	CTD_human
       15	AANAT	0.67	0.692	C0751760	Shift-Work Sleep Disorder	disease	C10;F03;C24	Mental or Behavioral Dysfunction	0.30	1	2003	2003	   1	   0	CTD_human
       15	AANAT	0.67	0.692	C0877792	Sleep Disorders, Circadian Rhythm	group	C10;F03;C24	Pathologic Function	0.30	1	2003	2003	   1	   0	CTD_human
       16	AARS1	0.647	0.462	C2750090	Charcot-Marie-Tooth Disease, Axonal, Type 2n	disease	C16;C10	Disease or Syndrome	0.71	1	2010	2019	   5	   3	CTD_human;GENOMICS_ENGLAND;UNIPROT
       16	AARS1	0.647	0.462	C4225361	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 29	disease		Disease or Syndrome	0.70	1	2015	2017	   2	   4	CTD_human;GENOMICS_ENGLAND;UNIPROT
       18	ABAT	0.628	0.538	C0004352	Autistic Disorder	disease	F03	Mental or Behavioral Dysfunction	0.31	1	2005	2005	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0017168	Gastroesophageal reflux disease	disease	C06	Disease or Syndrome	0.31	1	2011	2011	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0022333	Jacksonian Seizure	disease	C23;C10	Disease or Syndrome	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0023380	Lethargy	phenotype	C23;C10;F01	Sign or Symptom	0.40	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0023893	Liver Cirrhosis, Experimental	disease	C23;C06	Experimental Model of Disease	0.30	1	2014	2014	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0026825	Flaccid Muscle Tone	phenotype	C23;C10	Sign or Symptom	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0026827	Muscle hypotonia	phenotype	C23;C10	Finding	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0033922	Psychomotor Disorders	group	C23;C10;F01	Mental or Behavioral Dysfunction	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0034933	Reflex, Abnormal	phenotype	C23;C10	Finding	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0036572	Seizures	phenotype	C23;C10	Sign or Symptom	0.41	1	1999	2018	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0149958	Complex partial seizures	disease	C23;C10	Disease or Syndrome	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0151572	Reflex, Corneal, Decreased	phenotype	C23;C10	Finding	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0151888	Hyporeflexia	phenotype	C23;C10	Finding	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0151889	Hyperreflexia	phenotype	C23;C10	Finding	0.40	1	1999	2010	   1	   3	CTD_human
       18	ABAT	0.628	0.538	C0234146	Absent reflex	phenotype	C23;C10	Finding	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0234533	Generalized seizures	disease	C23;C10	Disease or Syndrome	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0234535	Clonic Seizures	disease	C23;C10	Disease or Syndrome	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0234784	Reflex, Gag, Absent	phenotype	C23;C10	Finding	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0241772	Reflex, Deep Tendon, Absent	phenotype	C23;C10	Finding	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0270824	Visual seizure	disease	C23;C10	Disease or Syndrome	0.50	1	1989	2012	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0270844	Tonic Seizures	phenotype	C23;C10	Disease or Syndrome	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0270846	Epileptic drop attack	disease	C23;C10	Disease or Syndrome	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0277839	Hoffman's Reflex	phenotype	C23;C10	Finding	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0277850	Reflex, Pendular	phenotype	C23;C10	Finding	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0278211	Reflex, Corneal, Absent	phenotype	C23;C10	Finding	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0342708	Gamma aminobutyric acid transaminase deficiency	disease	C16;C18	Disease or Syndrome	0.70	1	1998	2019	   5	   8	CTD_human;GENOMICS_ENGLAND;ORPHANET;UNIPROT
       18	ABAT	0.628	0.538	C0422850	Seizures, Somatosensory	phenotype	C23;C10	Pathologic Function	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0422852	Seizures, Auditory	phenotype	C23;C10	Pathologic Function	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0422853	Olfactory seizure	phenotype	C23;C10	Disease or Syndrome	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0422854	Gustatory seizure	phenotype	C23;C10	Sign or Symptom	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0422855	Vertiginous seizure	phenotype	C23;C10	Disease or Syndrome	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0424230	Motor retardation	phenotype	C23;C10;F01	Finding	0.40	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0424605	Developmental delay (disorder)	phenotype	F03	Mental or Behavioral Dysfunction	0.30	1	2016	2016	   1	   0	GENOMICS_ENGLAND
       18	ABAT	0.628	0.538	C0427201	Floppy Muscles	phenotype	C23;C10	Sign or Symptom	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0427202	Muscle Tone Atonic	phenotype	C23;C10	Sign or Symptom	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0494475	Tonic - clonic seizures	disease	C23;C10	Disease or Syndrome	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0522345	Reflex, Acoustic, Abnormal	phenotype	C23;C10	Finding	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0557874	Global developmental delay	disease		Mental or Behavioral Dysfunction	0.40	1	2016	2016	   1	   0	GENOMICS_ENGLAND
       18	ABAT	0.628	0.538	C0558845	Reflex, Ankle, Absent	phenotype	C23;C10	Finding	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0558846	Reflex, Triceps, Absent	phenotype	C23;C10	Finding	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0558847	Reflex, Biceps, Absent	phenotype	C23;C10	Finding	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0576612	Reflex, Anal, Absent	phenotype	C23;C10	Finding	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0743002	Abnormal Deep Tendon Reflex	phenotype	C23;C10	Finding	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0751056	Non-epileptic convulsion	phenotype	C23;C10	Sign or Symptom	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0751110	Single Seizure	disease	C23;C10	Disease or Syndrome	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0751123	Atonic Absence Seizures	phenotype	C23;C10	Disease or Syndrome	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0751330	Unilateral Hypotonia	phenotype	C23;C10	Sign or Symptom	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0751456	Developmental Psychomotor Disorders	group	C23;C10;F01	Mental or Behavioral Dysfunction	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0751468	Bulbocavernosus Reflex, Decreased	phenotype	C23;C10	Finding	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0751469	Bulbocavernousus Reflex Absent	phenotype	C23;C10	Finding	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0751470	Palmo-Mental Reflex	phenotype	C23;C10	Finding	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0751471	Reflex, Anal, Decreased	phenotype	C23;C10	Finding	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0751472	Reflex, Ankle, Abnormal	phenotype	C23;C10	Finding	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0751473	Reflex, Ankle, Decreased	phenotype	C23;C10	Finding	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0751474	Reflex, Biceps, Abnormal	phenotype	C23;C10	Finding	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0751475	Reflex, Biceps, Decreased	phenotype	C23;C10	Finding	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0751476	Reflex, Gag, Decreased	phenotype	C23;C10	Finding	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0751477	Reflex, Knee, Abnormal	phenotype	C23;C10	Finding	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0751478	Reflex, Knee, Decreased	phenotype	C23;C10	Finding	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0751479	Reflex, Moro, Asymmetric	phenotype	C23;C10	Finding	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0751480	Reflex, Triceps, Abnormal	phenotype	C23;C10	Finding	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0751481	Reflex, Triceps, Decreased	phenotype	C23;C10	Finding	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0751494	Convulsive Seizures	phenotype	C23;C10	Sign or Symptom	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0751495	Seizures, Focal	phenotype	C23;C10	Disease or Syndrome	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C0751496	Seizures, Sensory	phenotype	C23;C10	Sign or Symptom	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C2267233	Neonatal Hypotonia	disease	C23;C10	Disease or Syndrome	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C3495874	Nonepileptic Seizures	phenotype	C23;C10	Disease or Syndrome	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C4048158	Convulsions	phenotype	C23;C10	Sign or Symptom	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C4316903	Absence Seizures	phenotype	C23;C10	Disease or Syndrome	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C4317109	Epileptic Seizures	phenotype	C23;C10	Disease or Syndrome	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C4317123	Myoclonic Seizures	phenotype	C23;C10	Sign or Symptom	0.30	1	1999	1999	   1	   0	CTD_human
       18	ABAT	0.628	0.538	C4505436	Generalized Absence Seizures	phenotype	C23;C10	Disease or Syndrome	0.30	1	1999	1999	   1	   0	CTD_human
       19	ABCA1	0.467	0.846	C0004153	Atherosclerosis	disease	C14	Disease or Syndrome	0.40	0.992	2000	2020	   1	   0	CTD_human
       19	ABCA1	0.467	0.846	C0009402	Colorectal Carcinoma	disease	C06;C04	Neoplastic Process	0.52	1	2012	2018	   1	   1	CTD_human;UNIPROT
       19	ABCA1	0.467	0.846	C0009404	Colorectal Neoplasms	group	C06;C04	Neoplastic Process	0.30	1	2012	2012	   1	   0	CTD_human
       19	ABCA1	0.467	0.846	C0020443	Hypercholesterolemia	disease	C18	Disease or Syndrome	0.55	1	2002	2017	   1	   0	CTD_human;GENOMICS_ENGLAND
       19	ABCA1	0.467	0.846	C0020445	Hypercholesterolemia, Familial	disease	C16;C18	Disease or Syndrome	0.33	1	2003	2019	   1	   0	CTD_human
       19	ABCA1	0.467	0.846	C0022661	Kidney Failure, Chronic	disease	C13;C12	Disease or Syndrome	0.30	1	2010	2010	   1	   0	CTD_human
       19	ABCA1	0.467	0.846	C0036341	Schizophrenia	disease	F03	Mental or Behavioral Dysfunction	0.31	1	2011	2011	   1	   0	PSYGENET
       19	ABCA1	0.467	0.846	C0039292	Tangier Disease	disease	C16;C18;C10	Disease or Syndrome	1.00	0.991	1999	2019	  23	  24	CTD_human;GENOMICS_ENGLAND;ORPHANET;UNIPROT
       19	ABCA1	0.467	0.846	C0342898	Apolipoprotein A-I deficiency	phenotype	C16;C18	Pathologic Function	0.30	1	2004	2012	   2	   0	ORPHANET
       19	ABCA1	0.467	0.846	C0473527	Hypoalphalipoproteinemias	disease	C16;C18	Disease or Syndrome	0.40	1	2002	2020	   0	   0	CTD_human
       19	ABCA1	0.467	0.846	C0745103	Hyperlipoproteinemia Type IIa	disease	C16;C18	Disease or Syndrome	0.52	1	2005	2019	   1	   0	CTD_human;GENOMICS_ENGLAND
